========================================
  TurtleBot4 Wall Follower (RANSAC)    
========================================

[WallFollower] Connected to shared memory segments:
  - /shm_scan
  - /shm_odom
  - /shm_cmd_vel

[WallFollower] Initialized. Target distance: 0.4m.
[WallFollower] Running... Press Ctrl+C to stop

[Control] Distance to wall: 0.418159m | Angle error: -21.1942° | Front clearance: 0.132m
[Control] Distance to wall: 0.418072m | Angle error: -21.1791° | Front clearance: 0.132m
[Control] Distance to wall: 0.418516m | Angle error: -20.6083° | Front clearance: 0.132m
[Control] Distance to wall: 0.418157m | Angle error: -21.1125° | Front clearance: 0.132m
[Control] Distance to wall: 0.418491m | Angle error: -20.8832° | Front clearance: 0.132m
[Control] Distance to wall: 0.418491m | Angle error: -20.8832° | Front clearance: 0.132m
[Control] Distance to wall: 0.418491m | Angle error: -20.8832° | Front clearance: 0.132m
[Control] Distance to wall: 0.418488m | Angle error: -20.8574° | Front clearance: 0.132m
[Control] Distance to wall: 0.418488m | Angle error: -20.8574° | Front clearance: 0.132m
[Control] Distance to wall: 0.418488m | Angle error: -20.8574° | Front clearance: 0.132m
[Control] Distance to wall: 0.418571m | Angle error: -20.8829° | Front clearance: 0.132m
[Control] Distance to wall: 0.418285m | Angle error: -21.0138° | Front clearance: 0.132m
[Control] Distance to wall: 0.418108m | Angle error: -20.9071° | Front clearance: 0.132m
[Loop 240] Processing scans...[Control] Distance to wall: 0.418108m | Angle error: -20.9071° | Front clearance: 0.132m
[Control] Distance to wall: 0.418108m | Angle error: -20.9071° | Front clearance: 0.132m
[Control] Distance to wall: 0.417989m | Angle error: -21.1749° | Front clearance: 0.132m
[Control] Distance to wall: 0.418487m | Angle error: -21.0086° | Front clearance: 0.132m
[Control] Distance to wall: 0.417989m | Angle error: -21.1749° | Front clearance: 0.132m
[Control] Distance to wall: 0.418426m | Angle error: -20.5867° | Front clearance: 0.132m
[Control] Distance to wall: 0.418502m | Angle error: -20.8361° | Front clearance: 0.132m
[Control] Distance to wall: 0.418426m | Angle error: -20.5921° | Front clearance: 0.132m
[Control] Distance to wall: 0.418627m | Angle error: -20.5684° | Front clearance: 0.132m
[Control] Distance to wall: 0.418627m | Angle error: -20.5684° | Front clearance: 0.132m
[Control] Distance to wall: 0.418926m | Angle error: -20.9525° | Front clearance: 0.132m
[Control] Distance to wall: 0.418603m | Angle error: -20.8395° | Front clearance: 0.132m
[Control] Distance to wall: 0.418603m | Angle error: -20.8395° | Front clearance: 0.132m
[Control] Distance to wall: 0.418003m | Angle error: -21.216° | Front clearance: 0.132m
[Control] Distance to wall: 0.418146m | Angle error: -20.916° | Front clearance: 0.132m
[Control] Distance to wall: 0.418545m | Angle error: -20.8905° | Front clearance: 0.132m
[Control] Distance to wall: 0.41837m | Angle error: -21.1368° | Front clearance: 0.132m
[Control] Distance to wall: 0.418545m | Angle error: -20.8905° | Front clearance: 0.132m
[Control] Distance to wall: 0.418491m | Angle error: -20.8801° | Front clearance: 0.132m
[Control] Distance to wall: 0.41797m | Angle error: -21.1268° | Front clearance: 0.132m
[Loop 260] Processing scans...[Control] Distance to wall: 0.41828m | Angle error: -20.9054° | Front clearance: 0.132m
[Control] Distance to wall: 0.418119m | Angle error: -21.103° | Front clearance: 0.132m
[Control] Distance to wall: 0.418579m | Angle error: -20.8509° | Front clearance: 0.132m
[Control] Distance to wall: 0.418815m | Angle error: -20.8203° | Front clearance: 0.132m
[Control] Distance to wall: 0.418652m | Angle error: -20.8705° | Front clearance: 0.132m
[Control] Distance to wall: 0.418652m | Angle error: -20.8705° | Front clearance: 0.132m
[Control] Distance to wall: 0.418652m | Angle error: -20.8705° | Front clearance: 0.132m
[Control] Distance to wall: 0.417939m | Angle error: -21.2111° | Front clearance: 0.132m
[Control] Distance to wall: 0.417939m | Angle error: -21.2111° | Front clearance: 0.132m
[Control] Distance to wall: 0.418305m | Angle error: -20.8303° | Front clearance: 0.132m
[Control] Distance to wall: 0.418305m | Angle error: -20.8303° | Front clearance: 0.132m
[Control] Distance to wall: 0.418305m | Angle error: -20.8303° | Front clearance: 0.132m
[Control] Distance to wall: 0.418565m | Angle error: -20.862° | Front clearance: 0.132m
[Control] Distance to wall: 0.418565m | Angle error: -20.862° | Front clearance: 0.132m
[Control] Distance to wall: 0.418565m | Angle error: -20.862° | Front clearance: 0.132m
[Control] Distance to wall: 0.418025m | Angle error: -20.9187° | Front clearance: 0.132m
[Control] Distance to wall: 0.418025m | Angle error: -20.9187° | Front clearance: 0.132m
[Control] Distance to wall: 0.418375m | Angle error: -20.5845° | Front clearance: 0.132m
[Control] Distance to wall: 0.417815m | Angle error: -21.1147° | Front clearance: 0.132m
[Control] Distance to wall: 0.418304m | Angle error: -20.9223° | Front clearance: 0.132m
[Loop 280] Processing scans...[Control] Distance to wall: 0.418097m | Angle error: -20.9152° | Front clearance: 0.132m
[Control] Distance to wall: 0.417736m | Angle error: -21.1322° | Front clearance: 0.132m
[Control] Distance to wall: 0.417736m | Angle error: -21.1322° | Front clearance: 0.132m
[Control] Distance to wall: 0.417538m | Angle error: -21.1556° | Front clearance: 0.132m
[Control] Distance to wall: 0.418432m | Angle error: -20.8329° | Front clearance: 0.132m
[Control] Distance to wall: 0.417926m | Angle error: -20.9269° | Front clearance: 0.132m
[Control] Distance to wall: 0.418344m | Angle error: -20.8445° | Front clearance: 0.132m
[Control] Distance to wall: 0.417496m | Angle error: -21.1605° | Front clearance: 0.132m
[Control] Distance to wall: 0.418806m | Angle error: -20.8766° | Front clearance: 0.133m
[Control] Distance to wall: 0.418238m | Angle error: -21.12° | Front clearance: 0.133m
[Control] Distance to wall: 0.418806m | Angle error: -20.8766° | Front clearance: 0.133m
[Control] Distance to wall: 0.418379m | Angle error: -20.8371° | Front clearance: 0.132m
[Control] Distance to wall: 0.418379m | Angle error: -20.8371° | Front clearance: 0.132m
[Control] Distance to wall: 0.418544m | Angle error: -20.5506° | Front clearance: 0.132m
[Control] Distance to wall: 0.418768m | Angle error: -20.8518° | Front clearance: 0.132m
